parameter	value	se_sa	rse_sa
rhoS_pop	0.62590379602933166	0.04921148048957334	7.86246717175480114
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	4.33109090665100549	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25485155862498865	nan	nan
S0_pop	23978.45227935415095999	1303.67448591229936028	5.43685835400971573
T0_pop	24698.39344116910433513	1243.80935044927582567	5.03599294185670665
omega_rhoS	0.11828174370483288	0.03351687363607562	28.33647238048465766
omega_deltaSC	0.26321904705362215	0.15086048993366588	57.31366769325514099
omega_deltaCB	0.08219869659404774	0.03519652093813144	42.81883095051428256
omega_S0	0.02357527440233715	0.04273452866224257	181.26842527018919782
omega_T0	0.02364249537036157	0.07089328628014109	299.85534593363394151
b1	0.16341786961540550	0.02171503906365068	13.28804439487294964
b2	0.17727912331452125	0.02404418189241580	13.56289530479999428
b3	0.27757475878453752	0.04877059186975913	17.57025461656491672
