parameter	value	se_sa	rse_sa
rhoS_pop	0.61944548721826398	0.04650372863266826	7.50731575130234052
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	2.61120071258263087	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.82850586156183559	0.04409311240710568	5.32200367586835554
omega_rhoS	0.11911681339754107	0.03386294331188937	28.42834890056621333
omega_deltaSC	0.33495572705369725	0.18082907433609194	53.98596283953160935
omega_deltaCB	196.32440233796526741	384.49189567373412046	195.84518842025832441
omega_rhoB	0.07584845358086414	0.04162272958526621	54.87617429258602186
b1	0.16388146292052877	0.02149948873648570	13.11892654199180086
b2	0.31260957855352522	0.04222757425456908	13.50808713218582824
b3	0.31955530446255331	0.05097071642200899	15.95051489060227112
