Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
b1	0.1641989	0.1648685	0.1648724	0.1646236	0.1637201	0.1645848	0.1650038	0.1656511	0.1647955	0.1657308	0.1643309	0.1637509	0.1642068	0.1655272	0.1642753	0.1646073	0.1651308	0.1648798	0.1648214	0.164807	0.1654696	0.164828	0.1658427	0.1644636	0.1656915	0.1646548	0.1645231	0.1641634	0.164201	0.1645874	0.1645778	0.1646991	0.1643398	0.1646661	0.163526	0.1641275	0.1646891	0.1653124	0.1643428	0.1646092	0.1644987	0.1641016	0.1644091	0.1643104	0.164578	0.1650285	0.1641103	0.1661283	0.1644837	0.1649596
b2	0.1775812	0.1735785	0.1729563	0.1729628	0.3195043	0.1781741	0.1723971	0.1867636	0.1731674	0.1830433	0.1898893	0.3198165	0.1778832	0.1854146	0.1775361	0.1779242	0.173656	0.1731986	0.1735475	0.1785326	0.1857914	0.1733881	0.1820806	0.1780476	0.1829178	0.1780426	0.1785539	0.1775216	0.17782	0.1726455	0.1779028	0.1788033	0.1780232	0.1726072	0.3196873	0.1773237	0.1732739	0.1714732	0.177524	0.1781986	0.1755198	0.1774941	0.1776274	0.1781312	0.1779641	0.1733558	0.1776429	0.1904175	0.1784733	0.1730299
b3	0.2802033	0.2883256	0.285626	0.2890052	0.3337866	0.2833562	0.2883208	0.433501	0.2938174	0.3763054	0.2825971	0.3348617	0.2793969	0.4067209	0.2839785	0.2852272	0.2994507	0.2885798	0.2886054	0.2849974	0.4340976	0.291194	0.3606647	0.279539	0.3901914	0.2838106	0.2853232	0.2791359	0.279143	0.2878139	0.2774917	0.2875821	0.2836554	0.2932878	0.3351331	0.278956	0.2860868	0.2887262	0.2805148	0.2829048	0.2750541	0.2811467	0.2891952	0.2823362	0.2855775	0.2866446	0.2815092	0.2554682	0.2825155	0.292958
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_deltaCB	0.07571327	0.1935252	0.1866243	0.1832112	301.685572	0.05607105	0.1799501	0.8792046	0.1916023	1.227368	0.1148351	308.780679	0.07273348	1.038221	0.07437976	0.06808391	0.1926644	0.1870898	0.189607	0.07916636	0.8400236	0.1944782	1.485273	0.07385989	1.397787	0.07479893	0.0578572	0.07808844	0.06838751	0.1671911	0.07730295	0.07430833	0.06136629	0.1869568	315.203593	0.07776127	0.1914277	0.03501366	0.06826991	0.07936662	0.1116556	0.0815438	0.0798038	0.07582797	0.06750657	0.1971206	0.08029192	4.556402	0.06730382	0.194885
omega_deltaSC	0.2463653	0.3001335	0.2894098	0.2871432	0.3895367	0.2467107	0.2853904	0.200934	0.2818209	0.5890749	0.2793284	0.3803529	0.2529207	0.3968443	0.2386353	0.2366658	0.2899606	0.2865094	0.2874094	0.2533128	0.13417	0.2881159	0.7282543	0.2567524	0.6536155	0.2466691	0.2429598	0.2454516	0.2462631	0.2719907	0.260166	0.2512474	0.239346	0.282462	0.3796496	0.2399799	0.3027137	0.2653257	0.2359272	0.2492276	0.2647203	0.2410926	0.2153176	0.2517626	0.2398572	0.3084609	0.2424109	1.938784	0.2556031	0.3005023
omega_rhoC	0.1183767	0.1153293	0.1712003	0.1825683	76075865973219800383488	0.2025282	0.2260703	1.280755	0.1557408	1.582781	0.2414909	2219260333123226963017728	0.1538775	1.441561	0.1017294	0.167443	0.1570386	0.1654668	0.1439539	0.1326693	1.187317	0.1185863	1.737919	0.1185165	1.586417	0.1551094	0.190915	0.08929132	0.1675703	0.2591325	0.1206674	0.1638865	0.1846856	0.1940217	732203421994186275028992	0.1019583	0.1254333	0.490167	0.1569664	0.09834136	0.1333373	0.07706387	0.09571479	0.1234396	0.1570514	0.08650074	0.0923266	2.820481	0.1733533	0.137195
omega_rhoS	0.1181459	0.1180062	0.1178887	0.1175982	0.1203775	0.1183749	0.1174958	0.115322	0.1177075	0.1155831	0.1174849	0.1200628	0.1186319	0.1158786	0.1187448	0.1182795	0.1175191	0.1174928	0.1176533	0.1186392	0.1158024	0.1174819	0.1153284	0.1185069	0.1155571	0.1182338	0.1186712	0.1181967	0.1183838	0.1176142	0.1179469	0.1185335	0.118427	0.117899	0.1205931	0.1185584	0.1179954	0.116793	0.1183809	0.1189363	0.1172352	0.1184574	0.1187826	0.1187166	0.1184981	0.1176389	0.1181584	0.1153214	0.1188866	0.1178257
rhoB_pop	0.2508109	-0.194113	-0.2128788	-0.195642	0.8436129	0.2617205	-0.2361196	-0.7293618	-0.2053213	-0.6446744	0.2151853	0.8442129	0.2597108	-0.7196556	0.2584561	0.2651704	-0.208171	-0.1994483	-0.1912491	0.2825765	-0.6249654	-0.1996327	-0.6034384	0.2579863	-0.6230372	0.2740998	0.2661099	0.2521208	0.2493831	-0.2064436	0.2550226	0.2935146	0.2561213	-0.2402885	0.8442037	0.2455449	-0.206363	-0.2103758	0.2454902	0.2674053	0.02221322	0.2549793	0.2654353	0.2645854	0.2614371	-0.2069052	0.2590488	0.3473975	0.2668351	-0.2222448
