Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
b1	0.1644068	0.1648395	0.1649871	0.1648155	0.1645886	0.1642906	0.1649848	0.1648801	0.1649471	0.1643187	0.1641966	0.1644352	0.1649897	0.1647188	0.1641787	0.1641557	0.1646576	0.1646105	0.1648181	0.1645063	0.1646916	0.1647838	0.1646476	0.1639656	0.1649803	0.1642639	0.164345	0.1638091	0.164399	0.1646449	0.1645367	0.1641923	0.1643704	0.1648396	0.1641228	0.1641654	0.1649751	0.1648303	0.1641095	0.1643773	0.1647768	0.1645422	0.1645216	0.1643171	0.1642812	0.1649866	0.1641207	0.1641515	0.1641775	0.1649308
b2	0.1776831	0.1743519	0.1735121	0.1732319	0.1776502	0.1774902	0.1742765	0.1737777	0.1742779	0.2908589	0.1934625	0.1777196	0.3380965	0.1739002	0.1775884	0.1781037	0.1741279	0.1736746	0.1737707	0.1776469	0.1736765	0.174125	0.5812976	0.1776347	0.1742118	0.1774797	0.1776521	0.1776472	0.1774145	0.1741252	0.1776059	0.1777017	0.1780279	0.1740579	0.1773239	0.177968	0.1741344	0.1745426	0.1776974	0.1775913	0.1760357	0.1776416	0.1777592	0.1777493	0.1779678	0.1732946	0.1776576	0.1773629	0.1773677	0.1733978
b3	0.279858	0.285506	0.2881133	0.2855892	0.2896265	0.286956	0.2919614	0.2870763	0.2849221	6.121145	0.3117332	0.2810607	0.5722869	0.2901329	0.2780641	0.2758723	0.2894209	0.285812	0.286731	0.2792722	0.2887633	0.2821068	11.748538	0.2752104	0.2829661	0.2791281	0.2828451	0.2803768	0.2862545	0.2870632	0.2876715	0.279647	0.2794923	0.284683	0.2797336	0.2799681	0.2871835	0.2882928	0.2756632	0.2870409	0.2757014	0.2812069	0.2806642	0.2794997	0.2777864	0.2929054	0.2800242	0.2822244	0.2802596	0.2858615
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_deltaCB	0.08397938	0.198272	0.1987142	0.1993649	0.07951802	0.08228896	0.2024903	0.1985974	0.1968308	1.299856	0.241212	0.08416322	0.2273238	0.1990859	0.08627317	0.08621106	0.1997912	0.1978708	0.1991379	0.08235408	0.1986767	0.1963587	1.098585	0.08315991	0.194656	0.08195286	0.0863768	0.08524174	0.08362068	0.1984345	0.08394263	0.08687698	0.08510479	0.1938219	0.08258704	0.08506878	0.199953	0.2007987	0.08494725	0.082401	0.1190243	0.08319245	0.08674074	0.08603477	0.08494423	0.2003233	0.08222281	0.08166185	0.07974863	0.196996
omega_deltaSC	0.2434319	0.3115624	0.3051199	0.3105341	0.2167832	0.2209405	0.3075947	0.3031056	0.3060233	0.1235436	0.3895855	0.2514874	0.3711292	0.3067481	0.2456241	0.2639536	0.30397	0.3063775	0.3110318	0.2604582	0.3013711	0.3142759	1.443555	0.2584241	0.304434	0.2525842	0.2297557	0.2331363	0.2214048	0.3055007	0.2278516	0.2432076	0.2548182	0.2921126	0.2397965	0.2476557	0.3112874	0.3100219	0.2541384	0.2144154	0.2538754	0.242329	0.2517241	0.2517085	0.255676	0.2897076	0.2421583	0.2345786	0.2472642	0.3051919
omega_rhoS	0.1185423	0.1176669	0.1178599	0.1178223	0.1189288	0.118668	0.1175457	0.118056	0.1175536	0.1199664	0.1168498	0.1186025	0.1173701	0.1176892	0.1186702	0.1187658	0.1177182	0.1176921	0.1178771	0.118188	0.1177545	0.1172588	0.11905	0.1184606	0.1177965	0.1189044	0.1186602	0.1190806	0.1184596	0.1177207	0.118464	0.1187634	0.1184725	0.1177091	0.1183772	0.1188246	0.1173388	0.1169466	0.1184905	0.1183603	0.1170308	0.1187971	0.1187184	0.1185593	0.1186241	0.1178329	0.1187838	0.1184749	0.1184757	0.1182565
rhoB_pop	0.2537019	-0.1806774	-0.2006117	-0.2250193	0.263889	0.2644742	-0.1823648	-0.1907938	-0.1665045	-0.5460254	0.2151853	0.2626574	1.126652	-0.1787233	0.251344	0.2577925	-0.1789569	-0.1783228	-0.1878377	0.2629377	-0.1917664	-0.1724097	-0.1189125	0.2459773	-0.1622522	0.2543034	0.2595461	0.2327021	0.2572237	-0.1733705	0.2672781	0.2590472	0.2619511	-0.166238	0.249802	0.2516609	-0.1831017	-0.1679266	0.2449465	0.2539156	0.0227679	0.2626117	0.2650788	0.256949	0.2534285	-0.2017535	0.2480347	0.2548392	0.255923	-0.2149106
