parameter	value	se_sa	rse_sa
rhoS_pop	0.61279990758245562	0.04610049983006446	7.52292865250822196
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.83199100954549232	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25342852496782570	nan	nan
omega_rhoS	0.11862410961731720	0.03370036481534287	28.40937219597319086
omega_deltaSC	0.25567603445598647	0.13842188364575719	54.13956139467030226
omega_deltaCB	0.08494423480885736	0.03224903326162431	37.96494645480238717
b1	0.16428124322457341	0.02155047870629398	13.11803970026837263
b2	0.17796779228944964	0.02328246625014515	13.08240437813499035
b3	0.27778642577827550	0.04775661624168987	17.19184661665520153
