Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
S0_pop	23351.822904	23688.93939	23638.455422	23672.629181	23311.199162	22944.911046	23564.960833	23604.936764	23731.979154	23353.012484	23762.024594	23408.402773	23226.05173	23968.975804	23321.608732	23374.67112	22334.17048	23432.83232	23600.170163	23718.734827	23254.721165	23271.747157	23353.009343	23978.452279	23567.510288	23593.658862	23594.010113	23597.694206	23453.205588	23391.275269	23675.715944	23620.220066	23765.591462	23633.016101	23385.940154	23474.726888	23541.658155	23646.444975	23508.036209	23502.144713	23409.552301	23695.149178	23178.666549	23548.706946	23797.115719	23420.967865	23493.140505	23513.672167	23514.677124	23512.44924
T0_pop	24662.218485	24606.415356	24370.0873	25019.462343	24652.673664	31249.02056	24865.987069	24566.164682	24757.811421	24505.886821	25059.176638	24712.905374	24497.418361	25121.358924	24671.081474	24776.078953	28858.541686	24667.466885	24686.413505	24602.47052	24650.214487	25446.075666	24649.165608	24698.393441	24538.342711	24651.083154	24410.965605	25188.592162	25222.503141	25055.181316	24340.473592	24659.338234	24626.82545	24761.649123	24924.087835	24487.786353	24197.510157	24823.084008	24740.824072	24527.264828	24578.498677	24886.46858	25050.414431	24528.952631	25085.863164	24430.562666	24532.787189	25142.880472	24788.058507	24497.7207
b1	0.1652562	0.1635805	0.1635623	0.1644406	0.1652984	0.1665628	0.1638522	0.1643116	0.1634509	0.1646867	0.1641141	0.1648502	0.1649695	0.1636535	0.1653168	0.1648592	0.1709545	0.1651896	0.1638518	0.1634607	0.1650109	0.165357	0.1650399	0.1634179	0.1645391	0.1643018	0.1644146	0.1641484	0.1651007	0.1654597	0.1637198	0.1640022	0.1635483	0.1643038	0.1648047	0.1639008	0.1639087	0.1644936	0.1650076	0.1644299	0.1649039	0.163607	0.1656931	0.1639098	0.1640046	0.1640609	0.1639291	0.1640554	0.1643925	0.1643156
b2	0.1731315	0.1778097	0.1779467	0.1731459	0.173913	0.2395518	0.1759382	0.1738944	0.1765295	0.1775852	0.1732888	0.1769227	0.177433	0.1733456	0.1736426	0.1731317	0.1934824	0.1728534	0.1772655	0.1775175	0.1769574	0.1739318	0.1737266	0.1772791	0.1737076	0.1725933	0.1793677	0.1725849	0.1736329	0.1728993	0.1784562	0.1773676	0.1776533	0.1734792	0.1727903	0.1779842	0.1789721	0.173254	0.1729831	0.178306	0.1734005	0.1767772	0.1727215	0.1777844	0.1727885	0.1781648	0.1773756	0.1761946	0.1774252	0.1776443
b3	0.2880438	0.2731356	0.2772427	0.2864757	0.2855284	4.623178	0.2843263	0.2924854	0.2784257	0.2747853	0.2874476	0.2784022	0.275322	0.2858283	0.287152	0.2898062	0.377302	0.2988372	0.2763589	0.2778249	0.274304	0.2963252	0.2925502	0.2775748	0.2899417	0.2907213	0.2771381	0.2881435	0.2840115	0.3003839	0.2775173	0.2808706	0.2767216	0.2912984	0.2934044	0.2743046	0.2769355	0.292284	0.2857165	0.2763463	0.2857256	0.2759315	0.2869076	0.2742365	0.2903219	0.2736133	0.275948	0.2725693	0.2730439	0.2734946
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_S0	0.02268201	0.02122615	0.01446488	0.02057115	0.01816486	0.009198893	0.0208859	0.01854932	0.02147216	0.0170504	0.01383612	0.01621191	0.01599563	0.01811099	0.01964897	0.01861823	0.02445403	0.0228538	0.01763519	0.01711794	0.01646565	0.01667194	0.0194918	0.02357527	0.01721562	0.02426299	0.02806381	0.02137729	0.02182345	0.02224788	0.02815577	0.01095503	0.01950491	0.02156052	0.01237354	0.01668182	0.01518221	0.01788044	0.02853152	0.01917611	0.01205564	0.01585873	0.01288521	0.0213341	0.01549357	0.01131714	0.02104642	0.02030053	0.02923513	0.01867975
omega_T0	0.03256584	0.02380792	0.02766736	0.02786704	0.03213333	0.1012646	0.02666851	0.02482507	0.02648928	0.02274343	0.02974058	0.02202235	0.02730654	0.01042887	0.0240744	0.01819325	0.04258738	0.0441372	0.02122764	0.01866513	0.02861572	0.02817989	0.03193652	0.0236425	0.02324778	0.03075634	0.02244127	0.0360003	0.0194759	0.0263568	0.02877858	0.02592209	0.01290782	0.02975049	0.03325215	0.02158175	0.02084075	0.02303326	0.02683413	0.02572959	0.02913101	0.02760325	0.03680664	0.01159409	0.035387	0.02729251	0.02671094	0.02430725	0.01267286	0.02585345
